"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,4649180518569784,4649180518707545
1,1,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048614.000000,4649180518569784,4649180518707545
1,1,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049017.000000,4649180518569784,4649180518707545
1,1,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048613.000000,4649180518569784,4649180518707545
1,1,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,4649180518569784,4649180518707545
1,1,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,4649180518569784,4649180518707545
2,2,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,4649180521495577,4649180521630298
2,2,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048584.000000,4649180521495577,4649180521630298
2,2,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,4649180521495577,4649180521630298
2,2,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048582.000000,4649180521495577,4649180521630298
2,2,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,4649180521495577,4649180521630298
2,2,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,4649180521495577,4649180521630298
3,3,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,4649180522071103,4649180522206625
3,3,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048584.000000,4649180522071103,4649180522206625
3,3,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,4649180522071103,4649180522206625
3,3,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048582.000000,4649180522071103,4649180522206625
3,3,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,4649180522071103,4649180522206625
3,3,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,4649180522071103,4649180522206625
4,4,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,4649180522628870,4649180522764071
4,4,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048586.000000,4649180522628870,4649180522764071
4,4,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,4649180522628870,4649180522764071
4,4,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048584.000000,4649180522628870,4649180522764071
4,4,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,4649180522628870,4649180522764071
4,4,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,4649180522628870,4649180522764071
5,5,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,4649180523184076,4649180523320718
5,5,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048586.000000,4649180523184076,4649180523320718
5,5,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,4649180523184076,4649180523320718
5,5,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048584.000000,4649180523184076,4649180523320718
5,5,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,4649180523184076,4649180523320718
5,5,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,4649180523184076,4649180523320718
6,6,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,4649180523742483,4649180523877204
6,6,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048584.000000,4649180523742483,4649180523877204
6,6,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,4649180523742483,4649180523877204
6,6,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048582.000000,4649180523742483,4649180523877204
6,6,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,4649180523742483,4649180523877204
6,6,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,4649180523742483,4649180523877204
7,7,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,4649180524297529,4649180524432571
7,7,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048584.000000,4649180524297529,4649180524432571
7,7,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,4649180524297529,4649180524432571
7,7,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048582.000000,4649180524297529,4649180524432571
7,7,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,4649180524297529,4649180524432571
7,7,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,4649180524297529,4649180524432571
8,8,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,4649180524850816,4649180524985537
8,8,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048584.000000,4649180524850816,4649180524985537
8,8,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,4649180524850816,4649180524985537
8,8,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048582.000000,4649180524850816,4649180524985537
8,8,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,4649180524850816,4649180524985537
8,8,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,4649180524850816,4649180524985537
9,9,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,4649180525407462,4649180525542344
9,9,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048586.000000,4649180525407462,4649180525542344
9,9,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,4649180525407462,4649180525542344
9,9,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048584.000000,4649180525407462,4649180525542344
9,9,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,4649180525407462,4649180525542344
9,9,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,4649180525407462,4649180525542344
10,10,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,4649180525961869,4649180526096590
10,10,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048586.000000,4649180525961869,4649180526096590
10,10,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,4649180525961869,4649180526096590
10,10,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048584.000000,4649180525961869,4649180526096590
10,10,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,4649180525961869,4649180526096590
10,10,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,4649180525961869,4649180526096590
11,11,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"SQ_INSTS_VMEM_RD",262144.000000,4649180526518995,4649180526654037
11,11,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_EA_RDREQ_sum",1048584.000000,4649180526518995,4649180526654037
11,11,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_HIT_sum",1049018.000000,4649180526518995,4649180526654037
11,11,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCC_MISS_sum",1048582.000000,4649180526518995,4649180526654037
11,11,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TCC_READ_REQ_sum",1048576.000000,4649180526518995,4649180526654037
11,11,4,1,72670,72670,16777216,22,"void copy_kernel<1>(float*, float*, unsigned long, unsigned long)",256,0,0,12,32,"TCP_TOTAL_READ_sum",4194304.000000,4649180526518995,4649180526654037
12,12,4,1,72670,72670,16777216,23,"void copy_kernel<2>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,4649180527075162,4649180527236923
12,12,4,1,72670,72670,16777216,23,"void copy_kernel<2>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",1048842.000000,4649180527075162,4649180527236923
12,12,4,1,72670,72670,16777216,23,"void copy_kernel<2>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",1113252.000000,4649180527075162,4649180527236923
12,12,4,1,72670,72670,16777216,23,"void copy_kernel<2>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",1048710.000000,4649180527075162,4649180527236923
12,12,4,1,72670,72670,16777216,23,"void copy_kernel<2>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",2097152.000000,4649180527075162,4649180527236923
12,12,4,1,72670,72670,16777216,23,"void copy_kernel<2>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,4649180527075162,4649180527236923
13,13,4,1,72670,72670,16777216,17,"void copy_kernel<4>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,4649180527647168,4649180527801090
13,13,4,1,72670,72670,16777216,17,"void copy_kernel<4>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",1049354.000000,4649180527647168,4649180527801090
13,13,4,1,72670,72670,16777216,17,"void copy_kernel<4>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",2162872.000000,4649180527647168,4649180527801090
13,13,4,1,72670,72670,16777216,17,"void copy_kernel<4>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",1048966.000000,4649180527647168,4649180527801090
13,13,4,1,72670,72670,16777216,17,"void copy_kernel<4>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",4127070.000000,4649180527647168,4649180527801090
13,13,4,1,72670,72670,16777216,17,"void copy_kernel<4>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,4649180527647168,4649180527801090
14,14,4,1,72670,72670,16777216,16,"void copy_kernel<8>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,4649180528212135,4649180528485098
14,14,4,1,72670,72670,16777216,16,"void copy_kernel<8>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",1050378.000000,4649180528212135,4649180528485098
14,14,4,1,72670,72670,16777216,16,"void copy_kernel<8>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",8077058.000000,4649180528212135,4649180528485098
14,14,4,1,72670,72670,16777216,16,"void copy_kernel<8>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",1049478.000000,4649180528212135,4649180528485098
14,14,4,1,72670,72670,16777216,16,"void copy_kernel<8>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",8077400.000000,4649180528212135,4649180528485098
14,14,4,1,72670,72670,16777216,16,"void copy_kernel<8>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,4649180528212135,4649180528485098
15,15,4,1,72670,72670,16777216,18,"void copy_kernel<16>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,4649180528893263,4649180529385268
15,15,4,1,72670,72670,16777216,18,"void copy_kernel<16>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",1052426.000000,4649180528893263,4649180529385268
15,15,4,1,72670,72670,16777216,18,"void copy_kernel<16>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",15888810.000000,4649180528893263,4649180529385268
15,15,4,1,72670,72670,16777216,18,"void copy_kernel<16>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",1050502.000000,4649180528893263,4649180529385268
15,15,4,1,72670,72670,16777216,18,"void copy_kernel<16>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",15890176.000000,4649180528893263,4649180529385268
15,15,4,1,72670,72670,16777216,18,"void copy_kernel<16>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,4649180528893263,4649180529385268
